SampleID	Cruise	depth	lat	long	temperature	salinity	knorr_cruise_id	station_id	time	cocco_rel_conc	diat_rel_conc	diaz_rel_conc	mixo_rel_conc	pico_eu_rel_conc	pico_pro_rel_conc	brown algae 	cocco	diat	diaz	land plants	mixo	nanoplankton	phaeocystis	pico_eu	picopro	red_algae	unclassified
S0094	GA03	135.6	26.1363	-44.82642	20.682	36.972	KN204	16	2011-11-30T03:40:00	0.457070052623749	0.110087998211384	0.045413885265589	0.212795212864876	0.087019920349121	0.087612971663475	0	0.022794259549476	0.006512645585571	0	0	0.209493111226863	0.016873672653524	0.112787180368228	0.141314535630008	0.484007978745559	0	0.00621661624077
S0095	GA03	185.7	26.1363	-44.82642	18.979	36.719002	KN204	16	2011-11-30T03:40:00	0.459311157464981	0.127781391143799	0.027079368010163	0.367209553718567	0.013677789829671	0.004940764512867	0	0	0.081447360904094	0	0	0.446575624626305	0.129480419898793	0	0.04176787738667	0.300728717184139	0	0
S0097	GA03	284.8	26.1363	-44.82642	17.261	36.43	KN204	16	2011-11-30T03:40:00	0.176913857460022	0.008816222660244	0.015655003488064	0.798587620258331	2.48119140451308E-05	2.52116046794981E-06	0	0	0	0	0	0	0	0	0	0	0	0
S0057	GA03	38.9	24.1499	-40.21881	25.242	37.629002	KN204	18	2011-12-01T17:25:00	0.000598016951699	0.000124959595269	0.139490589499474	6.08120490142028E-06	0.131425902247429	0.728354454040527	0	0	0	0	0	0	0.011976047904195	0	0	0.988023952095806	0	0
S0058	GA03	65.2	24.1499	-40.21881	25.225	37.631001	KN204	18	2011-12-01T17:25:00	0.000639296718873	0.000133736510179	0.141002669930458	6.73353906677221E-06	0.132900506258011	0.725317060947418	0	0.019988067230763	0.003439806918781	0	0	0.217845977248234	0.021956693700959	0.002417161618602	0.011156130547401	0.719477452552792	0	0.003718710182469
S0059	GA03	75.1	24.1499	-40.21881	25.193	37.627998	KN204	18	2011-12-01T17:25:00	0.00165945966728	0.000375523057301	0.172194734215736	1.65169622050598E-05	0.163923814892769	0.661829948425293	0	0.018711883108963	0.000616875267328	0	0	0.09833398425489	0.021899071990176	0.003392813970302	0.008944691376258	0.840595364279591	0	0.007505315752492
S0060	GA03	113.9	24.1499	-40.21881	22.23	37.304001	KN204	18	2011-12-01T17:25:00	0.029231829568744	0.000803451170214	0.262545675039291	0.001652058213949	0.246170893311501	0.459596157073975	0	0.023967998243994	0.006173575305269	0	0	0.116149234195237	0.005568322824365	0.066335671907624	0.122201043828931	0.658030497244219	0	0.001573656450362
S0062	GA03	233	24.1499	-40.21881	18.129	36.598999	KN204	18	2011-12-01T17:25:00	0.463049113750458	0.166229590773582	0.051329668611288	0.209138885140419	0.058605298399925	0.051647495478392	0	0.018484728840365	0.104186653463971	0	0	0.657192301505633	0.015123869051228	0.025206448418695	0.030247738102456	0.149558260617654	0	0
S0063	GA03	283.9	24.1499	-40.21881	17.305	36.452	KN204	18	2011-12-01T17:25:00	0.468974173069	0.144034668803215	0.025670439004898	0.357059150934219	0.003525706706569	0.000735927489586	0	0	0	0	0	0.976674400439679	0.004859499908405	0.012634699761832	0	0.005831399890084	0	0
S0072	GA03	39.9	22.3499	-35.86749	25.324	37.395	KN204	20	2011-12-03T23:12:00	0.001717109698802	0.00030495118699	0.199282184243202	1.02422063719132E-05	0.178634241223335	0.620051205158233	0	0.007918803790325	0.001827416259302	0.001096449755584	0	0.157317448959159	0.024974688877168	0.012426430563269	0.01510664107692	0.765321929396931	0	0.014010191321342
